Post_Text,Emotions
i mean obviously yes i did a hour round trip to perform for minutes and had a seriously dodgy chinese meal which has left me feeling decidedly delicate but overall i really enjoyed myself,love
i normally would want to eat this when i feel the world is dull,sadness
i feel when i am thrilled with my hair i have an extra bounce in my step and i don t worry about my outfit and make up as much,joy
i think i spent too much of my young life feeling romantic to have much saved up for adult me,love
im feeling really sentimental about things that are kind of far away from happening yall,sadness
i feel that anger toward someone else not caring about someone else being selfish creating a negative impression of someone else not noticing the person next to them not saying hello to someone they must recognize where is my good heart,love
i and others feel when angry is a huge wave of relief from what we previously felt sitting in the dank room of fear and powerlessness,anger
i was looking at her and leaning a bit forward feeling really keen on to her,joy
ill admit there is definitely some sort of testosterone laden feeling of accomplishment in being a fucking savage helping women who cannot control a way unruly crowd,anger
i will not convey all the relevant information perhaps because i feel intimidated embarrassed or too deferential,fear
i feel stressed out all the time i said and then i think about how people say stress causes cancer and i know it isn t true but i can t stop thinking that i need to relax or else my cancer will come back and then i get stressed out because i m stressed and it makes me feel worse,sadness
i feel like i dont need school to be intelligent,joy
i feel like a rag doll badly abused,sadness
im feeling particularly smug create my own,joy
i mention that i feel really unwelcome,sadness
i really want to watch it for the obvious romance reasons and i have a feeling like it would be a really funny kind of drama too i can also somewhat relate to the female main character who works with this boss who has a lot of pride and is a bit what you would like to call him as cocky,surprise
i should admit when consuming alcohol myself in small amounts i feel much less inhibited ideas come to me more easily and i can write with greater ease,fear
i want a relationship where partners empower each other not feel burdened by their histories and eccentricities,sadness
im feeling more hopeful today than i did yesterday,joy
im feeling very bitchy about this episode in general,anger
i am feeling so proud,joy
i can t help but feel amazed,surprise
i couldn t help feeling curious about what looked like fishing tackle hung in an adjoining cubicle an outsize plastic mac and sou wester dangled over an enormous pair of wellies,surprise
i tried to pretend that it was normal and unfortunately it was normal to feel unloved and afraid that terrible things would happen if i didn t smile and play along,sadness
i get the feeling that tyler is not very fond of the idea,love
i feel they had unprotected sex on several occasions she was like what if i get pregnant he was like whatever caught in the heat of passion,fear
i experienced a v drink today which is supposed to give you boundless energy for a while though full of the cold as i am i didnt feel bouncy though h noticed my speech quicken after minutes or so,joy
i am so busy feeling disgusted of myself that i have no mood to revenge on them,anger
i can feel violent biff whole length is hit by thunder same desire fire is ignited very quickly,anger
i feel curiously invigorated,joy
i am asked to lead a prayer meeting i feel a solemn responsibility to prepare myself spiritually and to plan carefully,joy
i really do like the feeling of accomplishing something worthwhile,joy
i feel privileged and beyond lucky to have met him,joy
i gotta tell you for a while i been feeling gloomed and doomed and some ugly grey clouds been hanging round me,sadness
i do feel respected where i work though,joy
im starting to feel submissive by just admitting that,sadness
i walk into a restaurant well any public place i feel like all eyes are on me and i feel really paranoid,fear
